iter	Passed	Remaining
752	12620	322572
753	12635	322532
754	12653	322537
755	12670	322524
756	12687	322507
757	12702	322446
758	12719	322441
759	12737	322469
760	12759	322585
761	12775	322527
762	12790	322472
763	12805	322428
764	12821	322390
765	12837	322349
766	12855	322369
767	12874	322394
768	12890	322374
769	12909	322406
770	12926	322393
771	12942	322366
772	12959	322337
773	12976	322323
774	12992	322292
775	13008	322269
776	13025	322245
777	13042	322232
778	13058	322214
779	13076	322214
780	13093	322197
781	13111	322213
782	13129	322223
783	13145	322198
784	13161	322172
785	13178	322147
786	13196	322173
787	13215	322191
788	13232	322186
789	13250	322201
790	13267	322184
791	13282	322142
792	13298	322098
793	13315	322095
794	13332	322083
795	13348	322052
796	13366	322047
797	13383	322041
798	13399	322016
799	13416	321993
800	13433	321988
801	13450	321969
802	13467	321968
