Time,anxbtc,bitbay,bitcoin24,bitcurex,bitfloor,btce,coinsetter,gatecoin,hitbtc,justcoin,lakebtc,mtgox,okcoin,others,therocktrading
2014-04-01 00:00:00 UTC,2.14126776880323,,,,,2.08436409189345,,,2.14836314177218,5.94234459261577,2.32513166445719,,,2.5555040490438037,2.76094058503287
2014-05-01 00:00:00 UTC,1.82328785003941,2.51557221857747,,,,1.29091206701835,,,1.05149614481544,2.91600846439998,1.31183571996916,,,1.724574712519372,3.87489911042705
2014-06-01 00:00:00 UTC,2.55685340979688,2.04231031917777,,,,1.72053609148551,,,1.61345110260023,6.32809985856821,1.02655348432545,,,2.17510103857806,2.80641165252193
2014-07-01 00:00:00 UTC,2.68903792720506,2.23072758790156,,,,1.15064224709265,,,0.740708232320405,3.46539382089613,0.629114246636212,,0.894137989052111,3.3021575947081474,2.16251523166162
2014-08-01 00:00:00 UTC,5.18009559910533,2.19595317671599,,,,1.50411506406826,,,1.05535281148516,6.89081002428558,0.913540926696574,,1.12499295298432,2.3346949145398517,2.39376559200344
2014-09-01 00:00:00 UTC,2.67103194137742,3.78179904200928,,,,1.25102217299094,,,0.919399156825092,4.44257014894117,0.733474493401774,,1.21765443294572,2.95035136338967,2.17761963421579
2014-10-01 00:00:00 UTC,2.41365672873378,3.76625429803593,,,,1.24099494373315,0.546147439422992,,1.05825899831441,3.01975378159176,0.821264557433652,,0.89709908206847,3.059612622740389,2.75003295059298
2014-11-01 00:00:00 UTC,2.21951083466853,5.68424140207837,,,,1.24159803747252,1.38375308569016,4.8092868396915,1.17296152333176,,1.05842704704814,,1.01887203862027,1.714880205716189,1.45302215006588
2014-12-01 00:00:00 UTC,1.15055066357389,2.26190429973583,,,,0.80608504231601,2.33827282754934,1.04159581914064,0.866526450380864,,0.517333306844586,,0.554944858730005,2.337878680433618,1.48690712131512
2015-01-01 00:00:00 UTC,1.31606176328313,2.99473105046166,,,,1.17796578591618,1.2926337058447,2.23579075761816,1.26781663945773,,0.900156594898303,,0.96503715826251,1.9934894769314424,3.32887388503514
2015-02-01 00:00:00 UTC,0.875549385687397,2.45564581918461,,,,0.736840687269957,0.60406264984455,0.843660347625402,1.02243997164221,,0.544851978803388,,0.571590400805748,1.1369418306036938,1.9942033024975
2015-03-01 00:00:00 UTC,0.979978312584125,2.76761067596304,,4.87025211367387,,0.763593493676013,0.614255425442944,0.923001034157892,1.69866165085846,,0.504615689502302,,0.542073157764099,1.1802475248137676,2.22652663834023
2015-04-01 00:00:00 UTC,0.597122287711238,1.82865544186978,,0.415290019525077,,0.590102639098065,0.425744239693216,0.669218555320761,1.15073406561564,,0.345775876551833,,0.317221765785072,0.8487497053238647,1.82349056484328
2015-05-01 00:00:00 UTC,0.304774749677806,1.69456268071845,,0.255577516231472,,0.408630810668183,0.318991212523806,0.470231282197502,0.768624829185972,,0.227931520766292,,0.226929692286824,0.641436651415582,1.32455109000535
